WGS84 UTM 19N
325411 4694031
-26.84256849915255 -20.77422043401748 16.734
-26.25939815840684 -20.78877818956971 16.734
-18.96187119721435 -21.70860658492893 16.77
-13.82260930276243 -22.2751681227237 16.77
-11.207932198420167 -22.58734997268766 16.783
-6.138047539338004 -23.183038659393787 16.781
-24.43829099147115 -21.081155042164028 16.755
-16.440035141888075 -21.981435416266322 16.765
-8.66605213121511 -22.882281492464244 16.783
16.803917117766105 -25.79887131601572 16.776
14.23451511352323 -25.506348736584187 16.767
19.425765033985954 -26.09887472167611 16.768
-1.0814219461753964 -23.759873947128654 16.757
9.175523668760434 -24.93255205079913 16.764
21.98725124273915 -26.34181451611221 16.761
24.139310151687823 -26.2103338772431 16.773
25.383631128352135 -25.315449819900095 16.751
25.114238797686994 -24.00624219700694 16.747
23.930406972765923 -23.485952095128596 16.714
21.690633353078738 -23.189312553033233 16.68
19.04470782680437 -22.845498647540808 16.709
16.505422026850283 -22.53829615842551 16.704
13.959660478984006 -22.215498834848404 16.754
11.54790493065957 -21.933082536794245 16.752
-1.382657467504032 -20.517747899517417 16.785
-3.8699581793043762 -20.23652711417526 16.76
1.3140412453794852 -20.844318134710193 16.77
-8.945030606817454 -19.66540213022381 16.7
-14.171171671128832 -19.00408172979951 16.715
-16.609983826812822 -18.705547956749797 16.708
-19.096744600101374 -18.402729970403016 16.7
-21.767153512337245 -18.1231049047783 16.735
22.665808813122567 -19.966696586459875 16.75
25.08941836084705 -19.77409055363387 16.756
25.825349458958954 -17.610331293195486 16.733
24.445611571718473 -17.05428767669946 16.705
22.34755336184753 -16.764271317981184 16.676
14.508562524453737 -15.809367291629314 16.74
6.993988314759918 -14.967490847222507 16.783
-5.890821860870346 -13.553289020434022 16.761
4.40552514634328 -14.705353256314993 16.764
1.0116969352820888 -14.345952010713518 16.756
-3.271496981731616 -13.862497627735138 16.765
-15.957317405787762 -12.3606500858441 16.727
-13.517737523594406 -12.628338338807225 16.72
-0.6405832474702038 -14.165821576490998 16.757
-8.368587265431415 -13.256872205995023 16.742
-10.96977026440436 -12.954287425614893 16.717
-16.019910678616725 -9.001021538861096 16.732
4.774284013721626 -11.483036204241216 16.757
22.485784923424944 -13.517681960947812 16.774
24.98564089462161 -13.570808990858495 16.779
25.752183335018344 -10.913980591110885 16.729
23.85509203793481 -10.548731978051364 16.721
21.41186204238329 -10.243928196839988 16.771
6.173505290527828 -8.416069259867072 16.735
