WGS84 UTM 19N
319223 4617496
-76.62871787161566 -71.4010231308639 57.533
-76.19151430379134 -70.40857573505491 57.499
-74.24335805804003 -64.79993859864771 57.489
-71.61460696067661 -56.62611288949847 57.51
-69.22382761683548 -49.24233299307525 57.527
-66.6816892545321 -41.60605785995722 57.555
-64.07349170796806 -33.82368226442486 57.54
-61.539008429506794 -26.19665628578514 57.54
-59.05235196033027 -18.656193968839943 57.533
-56.48267948324792 -11.033609905280173 57.558
-53.88880261586746 -3.250314553268254 57.528
-51.3463232552167 4.255410301499069 57.549
-48.711852558422834 12.00424078386277 57.54
-45.92981643159874 20.45929571427405 57.547
-43.60111542919185 27.404570202343166 57.505
-41.06258731440175 34.79407288413495 57.474
-38.52787916443776 42.40532286092639 57.526
-35.939772479527164 50.126329015009105 57.522
-33.44834912469378 57.6925648720935 57.502
-30.872845700010657 65.41944558918476 57.504
-28.335117753129452 72.9564054403454 57.532
-25.730731194256805 80.64678369741887 57.55
-22.289137092069723 85.72667599655688 57.514
-17.060142317437567 85.21133012510836 57.496
-14.512537652044557 81.62398292589933 57.459
-15.858176630688831 76.05157221853733 57.461
-18.49154236377217 68.27837275713682 57.499
-21.106443372613285 60.580369209870696 57.536
-23.691833091026638 53.06860791146755 57.557
-26.295034965034574 45.15143803227693 57.552
-28.861841890553478 37.604211911559105 57.542
-31.408587100799195 30.070034861564636 57.526
-33.863341139338445 22.521538285538554 57.518
-36.4456288604415 14.849825265817344 57.54
-39.03034936101176 7.131400047801435 57.517
-41.52445182373049 -0.4214345822110772 57.547
-58.81952037499286 -40.44156439136714 87.953
-56.675920550129376 -34.888851647265255 87.925
-51.52580533945002 -20.9230801993981 87.969
-46.47403551649768 -7.358905361033976 88.005
-41.381752649031114 6.187695685774088 87.987
-36.28716958977748 19.727130953222513 87.975
-31.179190559952985 33.29978412762284 87.973
-26.103722504689358 46.94447737745941 87.973
-21.08249217120465 60.58565336186439 87.969
-16.065500041353516 73.99351194594055 87.981
-7.044823498697951 82.29073717724532 87.94
3.8342484433669597 76.93621502257884 87.929
1.2365029031643644 64.55612082686275 87.96
-3.7834700898383744 51.06200013961643 87.966
-8.925441332161427 37.4499690644443 87.976
-14.060225323482882 23.872645852155983 87.98
-19.19574902858585 10.303010293282568 87.959
-24.231516457046382 -3.048600122332573 87.942
-29.37354542640969 -16.712947642430663 87.921
-34.532963793724775 -30.3858528342098 87.983
-38.93224462820217 -43.855284912511706 88.009
-31.593769220868126 -53.34964212030172 87.957
-21.700122171198018 -50.39894500654191 87.898
-16.369410923391115 -37.406080602668226 87.957
-11.277191869099624 -23.860348159447312 87.996
-6.207056405488402 -10.245172001421452 87.98
-1.1395475323079154 3.329298496246338 87.99
3.916168663534336 16.83974076528102 87.983
9.064757085870951 30.60237959306687 88.016
14.081905304163229 43.988365326076746 87.986
19.19607026973972 57.6621071388945 87.97
25.179177113226615 70.3496721945703 87.961
37.72350265661953 70.7025474011898 87.968
41.04639244324062 60.96412627212703 87.956
36.28665633604396 47.64818211551756 87.968
31.10481317108497 33.924918469041586 87.974
25.99537324148696 20.444702077656984 87.97
20.872501477366313 6.855279993265867 87.948
15.755670914542861 -6.66563006490469 87.996
10.660069979610853 -20.24884593579918 87.977
5.610859751701355 -33.7850105939433 87.975
0.49062364746350795 -47.395930556580424 87.959
-4.329101342533249 -60.4204730540514 87.992
-6.182334032317158 -65.56655542925 87.988
-39.21570727590006 -125.766143925488 87.908
-37.45967382431263 -121.57909981813282 87.95
